"company","market","country","city","area","website","linkedin","instagram","email","whatsapp","decision_maker","role","source_url","pain_signal","notes","stage","last_contacted","language"
"The Property","dubai","UAE","Dubai","Business Bay; Dubai Harbour; Dubai Marina","","","","tom@theproperty.ae","+971553980482","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/the-property-5064","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 20. Languages: English. Recommended channel: email + manual WhatsApp.","researched","","en"
"WINFORTH LUXURY REAL ESTATE BROKERAGE L.L.C","dubai","UAE","Dubai","Al Furjan; Jebel Ali; Reem","","","","shelinad@winforth.ae","+971528841570","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/winforth-luxury-real-estate-brokerage-l-l-c-7667","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 23. Languages: English; Gujarati; Hindi; Swahili; Urdu. Recommended channel: email + manual WhatsApp.","researched","","en"
"RZR REAL ESTATE L.L.C","dubai","UAE","Dubai","Arjan; Dubai Land; Jumeirah Village Circle","","","","fakkas@rzrrealty.com","+971522334000","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/rzr-real-estate-l-l-c-8124","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 23. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"Valco Properties LLC","dubai","UAE","Dubai","Arabian Ranches; DAMAC Hills; Mohammed Bin Rashid City","","","","payman@valco-properties.com","+971502173015","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/valco-properties-llc-1670","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 21. Languages: English; Hindi; Persian/Farsi; Urdu. Recommended channel: email + manual WhatsApp.","researched","","en"
"Elan Real Estate","dubai","UAE","Dubai","Business Bay; Downtown Dubai; Mohammed Bin Rashid City","","","","ahmed@elanrealestate.ae","+971503842808","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/elan-real-estate-4976","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 24. Languages: English; Urdu. Recommended channel: email + manual WhatsApp.","researched","","en"
"Mira International","dubai","UAE","Dubai","Business Bay; Downtown Dubai; Palm Jumeirah","","","","pa@miraestate.ae","+971557839148","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/m-i-r-a-real-estate-brokers-l-l-c-4330","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 20. Languages: English; Russian. Recommended channel: email + manual WhatsApp.","researched","","en"
"Al Mirath Real Estates","dubai","UAE","Dubai","Al Safa; Jumeirah; Umm Suqeim","","","","lana@almirath.ae","+971585543308","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/al-mirath-real-estates-4121","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 20. Languages: English; Russian. Recommended channel: email + manual WhatsApp.","researched","","en"
"DELARGY REAL ESTATE L.L.C","dubai","UAE","Dubai","Business Bay; Jumeirah Lake Towers; Palm Jumeirah","","","","amanda@delargyrealestate.com","+971553799007","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/delargy-real-estate-l-l-c-10835","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 20. Languages: English; Latvian; Russian. Recommended channel: email + manual WhatsApp.","researched","","en"
"Holbrook Real Estate","dubai","UAE","Dubai","Business Bay; DIFC; Dubai Science Park","","","","nicholas.holbrook@penbrookrealestate.com","+971507531538","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/holbrook-real-estate-7560","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 22. Languages: English. Recommended channel: email + manual WhatsApp.","researched","","en"
"EDBER REAL ESTATE","dubai","UAE","Dubai","DIFC; Downtown Dubai; Jumeirah Village Circle","","","","edouard@edberrealestate.com","+971585500077","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/edber-real-estate-4109","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 24. Languages: English; French. Recommended channel: email + manual WhatsApp.","researched","","en"
"LLJ","dubai","UAE","Dubai","Al Raha Beach; Saadiyat Island; Yas Island","","","","jeddy.pallogan@lljasset.com","+971506154560","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/llj-331","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 20. Languages: English; Tagalog. Recommended channel: email + manual WhatsApp.","researched","","en"
"Mire Properties","dubai","UAE","Dubai","Jumeirah; Jumeirah Village Circle; Palm Jumeirah","","","","anita@mireproperties.com","+971564425271","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/mire-properties-8454","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 22. Languages: Dutch; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"Townsend Real Estate","dubai","UAE","Dubai","Al Furjan; Mohammed Bin Rashid City; Nad Al Sheba","","","","charlie@townsenduae.com","+971505914827","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/townsend-real-estate-8470","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 24. Languages: English. Recommended channel: email + manual WhatsApp.","researched","","en"
"BLACKSTONE GULF REAL ESTATE BROKER L.L.C","dubai","UAE","Dubai","Al Barsha; Dubai Investment Park (DIP); Jebel Ali","","","","sabele@blackstonegulf.com","+971526282552","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/blackstone-gulf-real-estate-broker-l-l-c-2624","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 23. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"Del Pilar Real Estate","dubai","UAE","Dubai","Al Raha Beach; Al Reem Island; Yas Island","","","","sheila@thedelpilar.com","+971549903434","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/del-pilar-real-estate-6536","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 23. Languages: English. Recommended channel: email + manual WhatsApp.","researched","","en"
"WHITEWILL REAL ESTATE LTD - ABU DHABI","dubai","UAE","Dubai","Al Reem Island; Saadiyat Island; Yas Island","","","","v.sokolova@whitewill.ae","+971553364318","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/whitewill-real-estate-ltd-abu-dhabi-12416","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 21. Languages: English; Russian. Recommended channel: email + manual WhatsApp.","researched","","en"
"Livstate","dubai","UAE","Dubai","Dubai Hills Estate; Dubai Marina; Palm Jumeirah","","","","jheel@livstate.com","+971507026361","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/livstate-10734","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 23. Languages: English; Hindi. Recommended channel: email + manual WhatsApp.","researched","","en"
"KME REAL ESTATE BROKERAGE L.L.C","dubai","UAE","Dubai","Downtown Dubai; Dubai Internet City; Zabeel","","","","y.nzivo@kasumigaseki.co.jp","+971565267718","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/kme-real-estate-brokerage-l-l-c-10341","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 24. Languages: English; Swahili. Recommended channel: email + manual WhatsApp.","researched","","en"
"Xperience Realty Real Estate","dubai","UAE","Dubai","Business Bay; Dubai Harbour; Jumeirah Beach Residence","","","","shahrukh@xrealty.ae","+971564969561","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/xperience-realty-real-estate-6189","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 20. Languages: English; Hindi. Recommended channel: email + manual WhatsApp.","researched","","en"
"A7 Group Real Estate","dubai","UAE","Dubai","Dubai Land; Mudon; Palm Jebel Ali","","","","khurram162@gmail.com","+971555484423","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/a7-group-real-estate-8706","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 46. Languages: English; Hindi; Urdu. Recommended channel: email + manual WhatsApp.","researched","","en"
"MIDAS REAL ESTATE BROKERS","dubai","UAE","Dubai","Business Bay; Dubai Harbour; Dubai Marina","","","","prannay@midasdubai.com","+971507863716","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/midas-real-estate-827","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 45. Languages: English. Recommended channel: email + manual WhatsApp.","researched","","en"
"fam Real Estate Broker - Dubai Land","dubai","UAE","Dubai","Business Bay; Downtown Dubai; The World Islands","","","","rami@famproperties.com","+971569551551","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/fam-properties-branch-5-4194","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 34. Languages: Arabic; English. Recommended channel: email + manual WhatsApp. Duplicate branch/brand already contacted; excluded from cold email.","do_not_contact","","en"
"SRE REAL ESTATE BUYING & SELLING BROKERAGE","dubai","UAE","Dubai","Sharjah Industrial Area; Tilal City; Umm Al Thuoob","","","","nadeem@sunriserealestllc.com","+971553462233","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/sre-real-estate-buying-selling-brokerage-2214","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 27. Languages: English; Hindi. Recommended channel: email + manual WhatsApp.","researched","","en"
"RED RAY PROPERTIES LLC","dubai","UAE","Dubai","Al Marjan Island; Al Nakheel; Mina Al Arab","","","","abdalfatahmhanna.1@gmail.com","+971505989976","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/red-ray-properties-llc-9485","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 24. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"Coral Homes Real Estate","dubai","UAE","Dubai","Al Quoz; Jebel Ali; Ras Al Khor","","","","sheriff@coralhomes.me","+971555966450","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/coral-homes-real-estate-3242","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 24. Languages: English; Hindi; Urdu. Recommended channel: email + manual WhatsApp.","researched","","en"
"Dubai Waterfront Properties","dubai","UAE","Dubai","Arabian Ranches; Dubai Hills Estate; Dubai Marina","","","","tihana@dubaiwaterfront.com","+971559704661","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/dubai-waterfront-properties-79","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 22. Languages: English. Recommended channel: email + manual WhatsApp.","researched","","en"
